case_num,notes,cancer,med,organization,quantity,body part,gender,breed,condition
SL23-000038,"Hx narrowly excised primary lung tumor (bronchoalveolar carcinoma, Grade II, Stage II). He was never symptomatic, but the pulmonary mass was found incidentally on CXR performed prior to anesthesia for a dental procedure. CT scan did not reveal any evidence intrathoracic lymphadenopathy, nor any evidence of disease in other lung lobes. Doing well post-op, still asymptomatic. We are hoping to find mutations for which human targeted therapies exist. Starting lapatinib pending Vidum results\r\n  Bronchoalveolar carcinoma, Grade II, Stage II\r\n  Male\r\n  Dachshund\r\n  Canine\r\n  Neutered","['primary lung tumor', 'bronchoalveolar carcinoma', 'carcinoma', 'Grade II']","['anesthesia', 'human targeted therapies', 'lapatinib']",,,,,,"['Grade II', 'Stage II', 'pulmonary mass', 'intrathoracic lymphadenopathy', 'mutations']"
SL23-000041,Treated with Doxo; restaging today 1/13/23\r\n  Splenic hemangiosarcoma with liver metastasis\r\n  Female\r\n  Mixed Breed\r\n  Canine\r\n  Spayed,['Splenic hemangiosarcoma'],['Doxo'],,,,,,
SL23-000044,Suspect osteosarcoma of the distal ulna based on radiograph findings alone.\r\n  Osteosarcoma presumption.\r\n  Female\r\n  Great Dane\r\n  Canine\r\n  Spayed,"['osteosarcoma', 'Osteosarcoma']",,,,,,,
SL23-000046,"Moxie was presented to medical oncology on 12/16/22 to discuss management of histiocytic sarcoma of the left stifle. Moxie developed left hindlimb lameness in January 2021, secondary to left cranial cruciate ligament disease. Left TPLO was performed on 7/14/21, though tissue appeared suspicious prompting submission for histopathology -- where pathologists debated the presence of synovium/periarticular connective tissue histiocytic sarcoma. Moxie did well until November 2022, when a mass associat\r\n  Histiocytic sarcoma versus synovial cell sarcoma\r\n  Female\r\n  Pitbull Mix\r\n  Canine\r\n  Spayed","['histiocytic sarcoma', 'histiocytic sarcoma', 'Histiocytic sarcoma']",,['medical oncology'],,,,"['Moxie', 'Moxie']","['left hindlimb lameness', 'left cranial cruciate ligament disease']"
C23-000017,The localized liver ultrasound showed the mass has remained stable. There is a new mass in her liver that was no apparent at the last recheck. We elected to aspirate this mass for cytology today to get more information.\r\n  hepatocellular carcinoma.\r\n  Female\r\n  Mixed Breed\r\n  Canine\r\n  Spayed\r\n \r\n Sample_1 SampleType : Unstained Slides\r\n Sample_1 NumberOfSlides : 3\r\n Sample_1 ObtainedSampleSource : Fine Needle Aspiration\r\n Sample_1 LocationSizeAppearance : New Liver Mass,,,,,,,,"['mass', 'mass', 'mass']"
SL23-000053,"Owner trying to decided on treatment options. Flow sample was pending, but the sample was lost in transit.\r\n  Cutaneous round cell disease\r\n  Female\r\n  Mixed Breed\r\n  Canine\r\n  Spayed",,['treatment options'],,,,,,
SL23-000054,"right lateral liver mass with minimal parenchymal disruption noted, suggesting that it could be a benign mass. There is a second smaller nodule to the left of the gallbladder which could be nodular regeneration or possibly a benign growth and less likely malignant. There is mild enlargement of the left adrenal gland with no evidence of a mass. The proteinuria is suspected to be glomerular disease and has been treated with benazepril, however that appears to have been a concern.\r\n  Hepatocellular carcinoma\r\n  Female\r\n  Labrador Retriever\r\n  Canine\r\n  Spayed",,['benazepril'],,,,,,"['parenchymal disruption', 'benign mass', 'nodular regeneration', 'benign growth', 'mass', 'proteinuria', 'glomerular disease']"
SL23-000065,see attached history.\r\n  MIXED MAMMARY PAPILLARY ADENOCARCINOMA\r\n  Female\r\n  Golden Retriever\r\n  Canine\r\n  Spayed,,,,,,,,
SL23-000069,"Patient has failed CHOP and Tanovea chemotherapy, looking to see if there are possible small molecule inhibitors that could be tried in this case\r\n  B cell lymphoma\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered",,"['CHOP', 'Tanovea', 'chemotherapy', 'small molecule inhibitors']",,,,,,
SL23-000073,"Hepatocellular carcinoma removed 4/2021, came in as hemoabdomen.  Recurrent masses in liver (3) noted in 11/2021.  Patient was on sorafanib for one month, progression noted on CT scan.\r\n  Recurrent and metastatic hepatocellular carcinoma\r\n  Male\r\n  Siberian Husky\r\n  Canine\r\n  Neutered",['Hepatocellular carcinoma'],['sorafanib'],,,,,,"['Recurrent masses', 'progression', 'metastatic', 'Neutered']"
SL23-000074,"Pet has a spinal cord tumor causing non-ambulatory paraplegia, hepatosplenic mast cell tumor, and anemia (no evidence of blood loss). Receievd 1 dose of CCNU on 1/23/23.\r\n  Concerned spinal cord lesion is a mast cell tumor and it has spread to liver, spleen, and bone marrow.\r\n  Female\r\n  Maltese\r\n  Canine\r\n  Spayed","['spinal cord tumor', 'hepatosplenic mast cell tumor', 'mast cell tumor']",['CCNU'],,['1 dose'],,,['Pet'],"['non-ambulatory paraplegia', 'anemia', 'blood loss']"
SL23-000075,"Cora was diagnosed with solitary liver tumor, consistent with hepatocellular carcinoma in US-guided TruCut biopsy. She enrolled in our H-FIRE clinical trial, and she had partial tumor ablation with H-FIRE, followed by tumor resection 3 days post H-FIRE. The samples submitted here are from a area of the HCC NOT treated by H-FIRE.\r\n  Hepatocellular Carcinoma (HCC).\r\n  Female\r\n  Belgian Malinois\r\n  Canine\r\n  Spayed","['solitary liver tumor', 'hepatocellular carcinoma', 'HCC', 'Hepatocellular Carcinoma']","['H-FIRE', 'H-FIRE', 'H-FIRE']",,['samples'],,['Cora'],,
SL23-000076,"11/21/22 rDVM identified 1.5-2cm oral mass present on the lingual aspect of L lower premolar, 11/28/22 presented for onco consult. Cytology of oral mass confirmed melanoma. Started Oncept series (completes 1/16/23) 12/13/22 CT confirmed large oral mass invading body L mandible and identified questionable L tonsilar enlargement, normal thorax. Tonsil biopsy confirmed another melanoma site. 1/25/23 RT planning CT identified pulmonary nodules not appreciated on prior CT.\r\n  Oral malignant melanoma w/ metastasis\r\n  Female\r\n  Mixed Breed\r\n  Canine\r\n  Spayed","['melanoma', 'melanoma', 'melanoma']","['rDVM', 'Oncept series']",,,,['Spayed'],,['pulmonary nodules']
SL23-000078,"Recent diagnosis of a poorly differentiated malignant neoplasm, favor sarcoma of the subcutaneous tissues of the left medial humerus with suspected metastasis to the right axillary lymph node.\r\n  Poorly differentiated malignant neoplasm, favor sarcoma.  Clinically based on breed differentials include subcutaneous hemangiosarcoma vs histiocytic sarcoma.\r\n  Male\r\n  Golden Retriever\r\n  Canine\r\n  Neutered","['poorly differentiated malignant neoplasm', 'sarcoma', 'Poorly differentiated malignant neoplasm', 'sarcoma', 'subcutaneous hemangiosarcoma']",,,,,,,['metastasis']
SL23-000079,"01/11/23 acute lethargy, discomfort, and inappetence.  Fluid in abdomen, surgery to remove spleen and biopsy liver\r\n  Splenic hemangiosarcoma with microscopic liver metastasis +/- cardiac metastasis\r\n  Male\r\n  Siberian Husky\r\n  Canine\r\n  Neutered",['Splenic hemangiosarcoma'],,,,,,,"['acute lethargy', 'discomfort', 'inappetence']"
SL23-000083,"Apocrine gland adenocarcinoma of the right and left anal sac glands, one incomplete excision, one narrow excision\r\n  AGASACA\r\n  Female\r\n  Mixed Breed\r\n  Canine\r\n  Spayed",['adenocarcinoma'],,,,,,,
SL23-000084,"Pt dx with splenic mass 11/27/22. Had splenectomy at specialty hospital that evening. Initial histopath most concerning for histiocytic sarcoma, but IHC negative for cd18/cd204/iba. Then stained for other round cell markers (ckit, mum1), which were negative as well (those results not on the uploaded document). Additional stains for carcinoma/melanoma/sarcoma pending but increasingly concerned phenotype alone is not going to give us an answer. O is would like dx and tx recommendations.\r\n  Suspect splenic sarcoma, not hemangio\r\n  Female\r\n  Bouvier des Flandres\r\n  Canine\r\n  Spayed\r\n","['histiocytic sarcoma', 'carcinoma', 'melanoma', 'sarcoma', 'sarcoma']",,['specialty hospital'],,,,,['phenotype']
SL23-000085,#NAME?,,,,,,,,
SL23-000105,"Chief complaint was cough\r\n  Mediastinal lymphoma.  It was diagnosed by biopsy (histopathology).  He has gone over CHOP 19 weeks (22/01/24), LMP protocol (22/06/20). And after relapse, he has gone over Rescue protocol twice, (CCNU+PDS protocol; 22/09/10, CHOP reinduction; 22/09/29). And after pulmonary metastasis was identified, he is on DHAP protocol (23/01/13).\r\n  Male\r\n  Shetland Sheepdog\r\n  Canine\r\n  Neutered","['Mediastinal lymphoma', 'pulmonary metastasis']",['DHAP protocol'],"['CHOP', 'LMP protocol', 'Rescue protocol', 'CHOP']",,,,,['relapse']
SL23-000088,Patient has amorphous swelling along the right medial eye that appears to be coming from nasal passage on CT scan.  Cytology consistent with carcinoma\r\n  Suspect nasal carcinoma\r\n  Male\r\n  Beagle\r\n  Canine\r\n  Neutered,,,,,,,,['amorphous swelling']
SL23-000090,"Recently underwent right nephrectomy-large mass present arising from right kidney. Histopathology consistent with sarcoma, r/o fibrosarcoma or leiomyosarcoma. Concern for metastasis (omental nodule seen during surgery and biopsied).\r\n  Sarcoma\r\n  Female\r\n  Bichon Frise\r\n  Canine\r\n  Intact","['sarcoma', 'r/o fibrosarcoma', 'leiomyosarcoma']",,,,,,,"['metastasis', 'omental nodule', 'Intact']"
SL23-000091,"November 2022-grade II sarcoma (but MI was very high) marginally resected; second surgery performed due rapid recurrence.  On 1/3: no local disease but US revealed pelvic lymph node enlargement.  Treated with carboplatin (was to refer for RT so avoided doxorubicin)-in three weeks, perineal and inguinal SQ nodules developed, pelvic lymph nodes doubled in size to greater than 7 cm.  Today FNA for sequencing and administered doxorubicin\r\n  Presumed local (right groin) sarcoma removal plus extensive pelvic nodal metastasis with lameness\r\n  Male\r\n  Golden Retriever\r\n  Canine\r\n  Neutered","['sarcoma', 'SQ nodules', 'sarcoma', 'pelvic nodal metastasis']",['carboplatin'],,['7 cm'],,,,"['MI', 'recurrence', 'local disease', 'pelvic lymph node enlargement', 'Neutered']"
SL23-000104,"Cough (continuous)  CT - Lung mass (left cranial lobe) - Pulmonary nodules, blebs  Other concurrent diseases: Rhinitis, Tracheal collapse, CKD, Cystitis\r\n  Papillary carcinoma (histopathology)\r\n  Male\r\n  Maltese\r\n  Canine\r\n  Neutered",['Papillary carcinoma'],,,,,,,"['Pulmonary nodules', 'Rhinitis', 'Tracheal collapse', 'CKD']"
SL23-000093,Cutaneous histiocytic sarcoma\r\n  Resistant histiocytic sarcoma\r\n  Female\r\n  American Staffordshire Terrier\r\n  Canine\r\n  Spayed,,,,,,,,
SL23-000094,"3/21/22-seen at rdvm for new lump found in Jan and had grown.  Cytology was non-diagnostic. 4/6/22 - mass removal, of a large semi-encapsulated sq mas L caudal axillary with minimal margins due to adhesion to intercostal muscles.  HISTO: STS grade I 1/9/23 - seen by Dr. Rizzo for staging as mass had grown back.  AUS and CXR clear.  An ultrasound of the mass was used to confirm recurrence and not a lipoma.\r\n  STS\r\n  Male\r\n  Labrador Retriever\r\n  Canine\r\n  Neutered",,,['rdvm'],,,,,"['adhesion', 'mass', 'recurrence']"
SL23-000095,see attached\r\n  digit melanoma\r\n  Male\r\n  Labrador Retriever\r\n  Canine\r\n  Neutered,,,,,,,,['Neutered']
SL23-000097,"Peripheral and mediastinal lymphadenopathy leukopenia, hypercalcemia\r\n  LSA\r\n  Female\r\n  Mixed Breed\r\n  Canine\r\n  Spayed",,,,,,,['Spayed'],"['lymphadenopathy', 'leukopenia']"
SL23-000106,"right distal femur lytic and proliferative lesion, amputation done 2/3/23.  records uploaded\r\n  suspect  osteosarcoma\r\n  Male\r\n  Doberman Pinscher\r\n  Canine\r\n  Neutered",,,,,,,,"['lytic', 'proliferative lesion', 'amputation', 'Neutered']"
SL23-000107,incidental splenic mass. treated with splenectomy and liver biopsies.\r\n  Splenic stromal sarcoma\r\n  Female\r\n  Cocker Spaniel\r\n  Canine\r\n  Spayed,,,,,,,,['splenic mass']
SL23-000110,Scout was diagnosed with a gastric leiomyosarcoma with metastasis to the liver.  Scout underwent partial gastrectomy and liver metastasis removal on 01/10/23.  Doxorubicin chemotherapy was initiated on 02/03/23.  Looking for additional treatment options based on genomic analysis.\r\n  Metastatic leiomyosarcoma\r\n  Male\r\n  Labrador Retriever\r\n  Canine\r\n  Neutered,['gastric leiomyosarcoma'],"['Doxorubicin', 'chemotherapy']",,,,,"['Scout', 'Scout']",['Neutered']
SL23-000111,"preputial mast cell tumor with inguinal lymph node metastasis, failed palladia\r\n  preputial mast cell tumor with inguinal lymph node metastasis\r\n  Male\r\n  Alaskan Malamute\r\n  Canine\r\n  Neutered","['preputial mast cell tumor', 'inguinal lymph node metastasis', 'preputial mast cell tumor']",,,,,,,['Neutered']
SL23-000112,"History of a liver lobectomy consistent with hepatic adenoma. CT scan of the thorax and abdomen was performed which indicated no evidence of pulmonary metastatic disease, a mildlyheterogeneous mesenteric mass lesion of the right mid-ventral abdomen, and additional smaller mesenteric nodules. cytology of the mesenteric nodules most consistent with hepatocellular carcinoma. liver biopsy, mesenteric nodule and mesenteric\r\n  Multifocal/Disseminated hepatocellular carcinoma\r\n  Male\r\n  Siberian Husky\r\n  Canine\r\n  Neutered","['hepatic adenoma', 'pulmonary metastatic disease', 'hepatocellular carcinoma']",,,,,,,"['mesenteric mass lesion', 'Neutered']"
SL23-000113,"Gastric leiomyosarcoma.  CT,thoracic rads, abd ultrasound clear of metastatic dz.  Clinically well.  Plan for Torigen after chemo.\r\n  Gastric leiomyosarcoma\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered","['Gastric leiomyosarcoma', 'metastatic dz']",['Torigen'],,,,,,
SL23-000121,see attached\r\n  lymphoma\r\n  Male\r\n  Lab Mix\r\n  Canine\r\n  Neutered,,,,,,,,['Neutered']
SL23-000114,"Grade 3 STS was removed 9/22, regrew 12/22 despite metronomic chemotherapy (piroxicam/chlorambucil).  Second surgery performed with clean margins.  Looking for potential therapeutic targets to prevent regrowth/metastasis\r\n  Grade 3 soft tissue sarcoma\r\n  Female\r\n  Golden Retriever\r\n  Canine\r\n  Spayed",['Grade 3 STS'],"['metronomic chemotherapy', 'piroxicam', 'chlorambucil']",,,,,,['regrowth']
SL23-000120,see attached\r\n  lymphoma\r\n  Female\r\n  Pitbull\r\n  Canine\r\n  Spayed,,,,,,,,
SL23-000119,forelimb mass; see attached; better idea/confirmation of disease with potential tx options\r\n  STS vs rhabdo vs histio\r\n  Male\r\n  Labrador Retriever\r\n  Canine\r\n  Neutered,,,,,,,,['Neutered']
SL23-000122,see attached\r\n  lymphoma\r\n  Female\r\n  Australian Shepherd\r\n  Canine\r\n  Spayed,,,,,,,,
SL23-000115,oral melanoma removed 6/2/22. Treated with Oncept. Metastasis to lungs and right submandibular LN found 1/30/23\r\n  melanoma (confirmed via ZRL cytology)\r\n  Female\r\n  Mixed Breed\r\n  Canine\r\n  Spayed,"['melanoma', 'melanoma']",['Oncept'],,,,,,['Metastasis']
SL23-000116,Initially seen for limping. CXR done prior to CT scan revealed pulmonary nodules +/- tracheobronchial lymphadenopathy. Abdominal ultrasound revealed liver and splenic nodules. Cytology of liver and spleen confirmed histiocytic sarcoma\r\n  Histiocytic sarcoma\r\n  Male\r\n  Bernese Mountain Dog\r\n  Canine\r\n  Neutered,,,,,,,,
SL23-000117,Please obtain sample from Vidium labs 11/28/22. Previously diagnosed recurrent salivary adenocarcinoma\r\n  salivary adenocarcinoma\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered\r\n,,,['Vidium labs'],,,,,
SL23-000123,"Limping early Dec, resolved with NSAID.  Limping recurred late January, rads of left forelimb showed lytic lesion distal radius, concern for OSA.  Staging WNL.  Got one dose of Zoledronate 2/1/23.  On Vetprofen, Amantadine, Tylenol 3 PRN.\r\n  Presumptive OSA.\r\n  Male\r\n  Saint Bernard\r\n  Canine\r\n  Neutered",,"['NSAID', 'Zoledronate', 'Vetprofen', 'Amantadine']",,,,,,"['lytic lesion', 'OSA', 'Neutered']"
SL23-000125,"History of high grade soft tissue sarcoma removed from right side of face.  New mass on back of neck, cytology consistent with a sarcoma.  Thoracic radiographs show multiple masses in the lungs.  CT shows pleural effusion and pleural and pulmonary masses.\r\n  Metastatic sarcoma vs primary lung tumor\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered\r\n","['soft tissue sarcoma', 'sarcoma', 'Metastatic sarcoma']",,,,,,,"['cytology', 'pleural effusion']"
SL23-000126,Recently diagnosed splenic hemangiosarcoma 1/26/23 as well as dilated cardiomyopathy on ECHO 2/8/23. Started mitoxantrone and pimobendan on 2/8/23.\r\n  Splenic HSA\r\n  Male\r\n  Berger Picard\r\n  Canine\r\n  Intact,['splenic hemangiosarcoma'],"['mitoxantrone', 'pimobendan']",,,,,,['dilated cardiomyopathy']
SL23-000127,Recently diagnosed with lymphangiosarcoma of the prepuce via incisional biopsy.\r\n  Lymphangiosarcoma\r\n  Male\r\n  Labrador Retriever\r\n  Canine\r\n  Neutered,['lymphangiosarcoma'],,,,,,,['Neutered']
SL23-000128,See attached\r\n  Lymphoma\r\n  Female\r\n  Golden Retriever\r\n  Canine\r\n  Spayed,,,,,,,,
SL23-000129,"Hx of LPL amputation 5/2022; diagnosed with high grade soft tissue sarcoma. 2 new masses removed 11/2022 from L lateral thorax and R face. Both = poorly differentiated high grade soft tissue sarcoma. IHC negative for melanoma.\r\n  Poorly differentiated, multifocal, soft tissue sarcoma\r\n  Male\r\n  Border Collie\r\n  Canine\r\n  Neutered","['high grade soft tissue sarcoma', 'soft tissue sarcoma']",,,['2'],,,,"['poorly differentiated', 'Neutered']"
SL23-000130,see above\r\n  osteosarcoma of jaw.\r\n  Female\r\n  German Shepherd Dog\r\n  Canine\r\n  Spayed,['osteosarcoma'],,,,,,,
SL23-000131,Negative for HSA and Histiocytic. Would like to forward with chemotherapy and diagnsotics.\r\n  splenic stromal sarcoma\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered\r\n,['HSA'],['chemotherapy'],,,,,,
SL23-000134,"Lymphoma  - CC: cervical mass  - Dx: lymphoma  - LN enlargement (inguinal, sublumbar, popliteal, prescapular, axillary) - Pulmonary metastasis suspected on CT  - Concurrent disease: pulmonary hypertension - Treatment is not initiated (FNA slides we are sending)\r\n  Lymphoma\r\n  Female\r\n  Shih Tzu\r\n  Canine\r\n  Spayed","['Lymphoma', 'cervical mass', 'lymphoma']",['Treatment'],,,,,,"['Concurrent disease', 'pulmonary hypertension']"
SL23-000136,SOFT TISSUE SARCOMA\r\n  STT\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered,,,,,,,,['Neutered']
SL23-000138,Please see attached submission form for patient history and relevant treatments.\r\n  Mast Cell Tumor\r\n  Male\r\n  Mixed Breed\r\n  Canine\r\n  Neutered,,,,,,,,
SL23-000139,"Looking for potential options outside of toceranib, imatinib, and masitinib\r\n  Metastatic mast cell tumor\r\n  Female\r\n  Shih Tzu\r\n  Canine\r\n  Spayed",,"['toceranib', 'imatinib']",,,,,,
SL23-000140,"2 wk hx hyporexia, lethargy. Splenic masses and hepatic mass found on AUS. Splenectomy + partial liver lobectomy only treatment so far.\r\n  Splenic stromal sarcoma\r\n  Male\r\n  Border Collie\r\n  Canine\r\n  Neutered",,,['AUS'],,,,,"['hyporexia', 'lethargy', 'Splenic masses', 'hepatic mass']"
SL23-000146,"History of OMM, debulked from around her left mandibular canine tooth on 6/14/22. Thoracic radiographs at that time revealed multiple pulmonary bullae and R cd lung lobe carcinoma (cyto dx). First dose of Vinorelbine on 8/16/22 and fourth on 9/28/22. At that time repeat chest x-rays revealed progressive disease. She was switched to Palladia on 10/26/23. PD OMM 1/25/23 with rapid growth.\r\n  1. Right caudal lung lobe carcinoma  2. Multiple pulmonary bullae 3. Left rostral mandibular melanoma (buccal aspect of canine) (debulk 6/14/22, PD 1/25/23) 4. Absent R kidney, non-azotemic, elevated SDMA/isosthenuric\r\n  Female\r\n  Poodle (Standard)\r\n  Canine\r\n  Spayed","['R cd lung lobe carcinoma', 'Right caudal lung lobe carcinoma', 'Left rostral mandibular melanoma']","['Vinorelbine', 'Palladia']",,['fourth'],,,"['canine', 'Poodle']","['OMM', 'non-azotemic', 'SDMA']"
SL23-000153,Patient presented for lethargy and anorexia. Retroperitoneal mass noted on AUS. Surgery pursued. Diagnosed with retroperitoneal HSA. Patient received Torigen vaccine and doxorubicin chemotherapy. Looking for options of maintenance chemotherapy.\r\n  Retroperitoneal hemangiosarcoma\r\n  Male\r\n  Labrador Retriever\r\n  Canine\r\n  Neutered,['HSA'],"['Torigen vaccine', 'doxorubicin chemotherapy']",,,,,,"['lethargy', 'anorexia', 'Neutered']"
SL23-000154,excision of mass on tongue\r\n  Squamous cell carcinoma\r\n  Female\r\n  Labrador Retriever\r\n  Canine\r\n  Spayed,,,,,,,,
SL23-000155,Patient has metastatic insulinoma.  Doing well since surgery but looking for other options.  Not sure if you should sequence the primary or the metastatic lesions or a combination of both?\r\n  Insulinoma\r\n  Male\r\n  Golden Retriever\r\n  Canine\r\n  Neutered,['insulinoma'],,,,,,,"['primary', 'metastatic lesions']"
SL23-000156,"Right sided large anal gland tumor adhered to rectal wall, incomplete resection and high mitotic index\r\n  Anal gland carcinoma\r\n  Female\r\n  Labradoodle\r\n  Canine\r\n  Spayed",['anal gland tumor'],,,,,,,['incomplete resection']
SL23-000157,Acute onset lameness Jan 2023.  Predominantly lytic lesion right humerus arising at metaphysis.\r\n  Sarcoma of bone- pending decal at VDx\r\n  Female\r\n  Belgian Malinois\r\n  Canine\r\n  Spayed,['Sarcoma'],,,,,,,"['Acute onset lameness', 'lytic lesion']"
SL23-000159,"Presented to ER for splenic mass. Lab work identified thrombocytopenia and regenerative anemia. Ultrasound noted several heterogenous nodules/masses within the liver (up to 4cm in diameter). The spleen was enlarged and irregular, containing multiple large heterogenous cavitated masses. An abdominal exploratory was performed. No free fluid was identified. Ometal and hepatic lesions had a gross appearance of metastasis. Histopathology of spleen, omentum, and liver confirmed hemangiosarcoma.\r\n  Hemangiosarcoma\r\n  Male\r\n  Labrador Retriever\r\n  Canine\r\n  Neutered",,,['ER'],['multiple'],,,,"['splenic mass', 'thrombocytopenia', 'regenerative anemia', 'metastasis', 'Neutered']"
SL23-000162,Patient was found to have small pulmonary metastasis on a lameness film of her front leg.  Went on the hunt for the primary and finally found a bony proliferation associated with the occiptal region of the skull. See CT report\r\n  Osteosarcoma\r\n  Female\r\n  Greyhound\r\n  Canine\r\n  Spayed,,,,,,"['Patient', 'Spayed']",,"['pulmonary metastasis', 'lameness film', 'bony proliferation']"
SL23-000164,Diagnosis Maxillary osteosarcoma -- Radiation therapy = 4 x 8Gy using 6MV photons and IG-VMAT technique; progressive disease at time of treatment 3 and 4 -- Treated with zoledronate 1/19/23 and 2/9/23 -- Diagnosed on incisional biopsy  Problem List Radiation reaction surround OD Blepharospasm OD Ocular discharge OD\r\n  Diagnosis Maxillary osteosarcoma -- Radiation therapy = 4 x 8Gy using 6MV photons and IG-VMAT technique; progressive disease at time of treatment 3 and 4 -- Treated with zoledronate 1/19/23 and 2/9/23 -- Diagnosed on incisional biopsy\r\n  Female\r\n  Labrador Retriever\r\n  Canine\r\n  Spayed,"['Maxillary osteosarcoma', 'Maxillary osteosarcoma']","['zoledronate', 'zoledronate']",,"['4 x 8Gy', '4 x 8Gy']",,,,"['progressive disease', 'Blepharospasm', 'Ocular discharge', 'progressive disease']"
SL23-000165,There is mild ulceration (1 x 0.8 cm area) at the biopsy site but no palpable recurrence. Clinically doing very well otherwise. He has a history of atypical Addison's managed with low doses of prednisone.\r\n  Oral malignant melanoma-Tongue\r\n  Male\r\n  Chow Chow\r\n  Canine\r\n  Neutered,,,,,,,,"['ulceration', ""Addison's"", 'Neutered']"
